condition,seed,success_rate,steps_to_flag_success_mean,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean,episodes,successes
DQN_PARTIAL,7,0.7,63.76190476190476,126.3,0.26930665773571827,0.06363617560290324,0.0,10.613333333333333,30,21
DQN_PARTIAL,8,0.26666666666666666,79.125,111.13333333333334,0.5111277724036696,0.017803030303030303,0.0,8.075000000000001,30,8
DQN_PARTIAL,9,0.7666666666666667,77.56521739130434,135.3,0.26760742706329,0.02641991601644886,0.0,12.4,30,23
ORACLE_MDP,0,1.0,9.5,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,1,1.0,10.066666666666666,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,2,1.0,9.166666666666666,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,3,1.0,9.833333333333334,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,4,0.9333333333333333,8.892857142857142,0.0,0.0,0.0,0.0,0.9333333333333333,30,28
ORACLE_MDP,5,1.0,9.166666666666666,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,6,1.0,9.333333333333334,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,7,0.9666666666666667,8.551724137931034,0.0,0.0,0.0,0.0,0.9666666666666667,30,29
ORACLE_MDP,8,0.9666666666666667,8.793103448275861,0.0,0.0,0.0,0.0,0.9666666666666667,30,29
ORACLE_MDP,9,1.0,8.766666666666667,0.0,0.0,0.0,0.0,1.0,30,30
QLEARN,0,0.7,71.38095238095238,120.73333333333333,0.33719582991986935,0.015239319567987459,0.0,10.766666666666667,30,21
QLEARN,1,0.43333333333333335,72.53846153846153,127.8,0.39514005519100615,0.02390100998507019,0.0,10.526666666666667,30,13
QLEARN,2,0.5,66.0,119.33333333333333,0.3820809820981129,0.02812839839983699,0.0,9.758333333333335,30,15
QLEARN,3,0.5666666666666667,74.05882352941177,116.96666666666667,0.39968485449254504,0.028047229043551905,0.0,9.56,30,17
QLEARN,4,0.5,62.93333333333333,117.56666666666666,0.37730833560784904,0.046584045487619574,0.0,9.233333333333334,30,15
QLEARN,5,0.5333333333333333,71.0,120.3,0.40299193262327515,0.028032877941884526,0.0,9.838333333333335,30,16
