experiment,suite,condition,environment,model,phase,action_family,seed,episode_rows,success,steps,high_level_steps,primitive_steps,reward,errors,repeats,prediction_score,holdout_score,holdout_gain,imagined_nodes,imagination_depth,actual_return,runtime_seconds,real_transitions,imagined_transitions,action_proposals,novelty_score,repeat_rate,error_rate,learning_auc,final_tail_success,first_success_real_transitions,adaptation_auc,episodes_to_50,episodes_to_80,transfer_gain_vs_from_scratch,sample_saving_to_50,sample_saving_to_80,unseen_prediction_calibration_error
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,857,4000,0.0,6.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0009492420999522437,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,907,4000,0.05,6.0,,,0.05,0.0,0.0,0.0,0.0,,0.0,0.0,0.05,0.0009773946501445607,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,953,4000,0.075,6.0,,,0.075,0.0,0.0,0.0,0.0,,0.0,0.0,0.075,0.0009787023249809863,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,1009,680,0.0,6.0,,,0.0,0.0,0.0,0.9044117647058825,0.2196265172735761,0.0006168300653594771,103.43823529411765,4.870588235294117,0.0,0.0033356173531501553,6.0,103.43823529411765,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,1061,680,0.014705882352941176,6.0,,,0.014705882352941176,0.0,0.0,0.9024509803921567,0.22546160130718948,0.0014447167755991287,104.31323529411765,4.920588235294118,0.014705882352941176,0.0033866327939904295,6.0,104.31323529411765,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,1103,680,0.14852941176470588,6.0,,,0.14852941176470588,0.0,0.0,0.8973039215686273,0.22004125776184594,0.0011172385620915035,97.86911764705883,4.855882352941176,0.14852941176470588,0.0032571423533013064,6.0,97.86911764705883,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,1151,680,0.0058823529411764705,6.0,,,0.0058823529411764705,0.0,0.0,0.9004901960784311,0.2216946248196248,0.0008578431372549021,105.86617647058823,4.9338235294117645,0.0058823529411764705,0.003395562205996077,6.0,105.86617647058823,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,1201,680,0.022058823529411766,6.0,,,0.022058823529411766,0.0,0.0,0.9022058823529412,0.22451033443680507,0.0012850140056022408,94.8970588235294,4.783823529411765,0.022058823529411766,0.0031904688238522366,6.0,94.8970588235294,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,1259,680,0.061764705882352944,6.0,,,0.061764705882352944,0.0,0.0,0.9041666666666666,0.2228717320261438,0.0006127450980392157,97.69264705882352,4.858823529411764,0.061764705882352944,0.003196468382306835,6.0,97.69264705882352,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,1301,680,0.1161764705882353,6.0,,,0.1161764705882353,0.0,0.0,0.9051470588235292,0.2217466153127918,0.0004420518207282912,93.29264705882353,4.507352941176471,0.1161764705882353,0.003126893088055487,6.0,93.29264705882353,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,131,680,0.06764705882352941,6.0,,,0.06764705882352941,0.0,0.0,0.8982843137254902,0.22391981792717086,0.0010089869281045753,97.62794117647059,4.867647058823529,0.06764705882352941,0.003268492941510083,6.0,97.62794117647059,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,1361,680,0.03529411764705882,6.0,,,0.03529411764705882,0.0,0.0,0.9014705882352941,0.21752042483660128,0.0005555555555555556,96.86470588235294,4.795588235294118,0.03529411764705882,0.0032514913234455677,6.0,96.86470588235294,6.0,,0.0,0.0,,,,,,,,,,
